regularization,stepSize,batchSize,knn_k,accuracy,f1
0.01,0.01,10,5,0.8742331288343558,0.8743819287406105
0.01,0.01,10,10,0.8803680981595092,0.8805817366481741
0.01,0.01,10,15,0.8773006134969326,0.8775507557074115
0.01,0.01,32,5,0.7822085889570553,0.7820036078311248
0.01,0.01,32,10,0.7852760736196319,0.7853900589443702
0.01,0.01,32,15,0.7607361963190185,0.7610621564678364
0.01,0.05,10,5,0.8803680981595092,0.8806175499819662
0.01,0.05,10,10,0.8773006134969326,0.8775507557074115
0.01,0.05,10,15,0.8803680981595092,0.8806219116823812
0.01,0.05,32,5,0.8742331288343558,0.8744577231429523
0.01,0.05,32,10,0.8742331288343558,0.8744953730579645
0.01,0.05,32,15,0.8742331288343558,0.8744999584353238
0.025,0.01,10,5,0.8650306748466258,0.8652145498023693
0.025,0.01,10,10,0.8742331288343558,0.8744813021438362
0.025,0.01,10,15,0.8742331288343558,0.8744953730579645
0.025,0.01,32,5,0.7822085889570553,0.7820036078311248
0.025,0.01,32,10,0.7852760736196319,0.7853900589443702
0.025,0.01,32,15,0.7607361963190185,0.7610621564678364
0.025,0.05,10,5,0.8680981595092024,0.8683584388337796
0.025,0.05,10,10,0.8773006134969326,0.8775507557074115
0.025,0.05,10,15,0.8865030674846626,0.8867270287639498
0.025,0.05,32,5,0.8711656441717791,0.871428293492782
0.025,0.05,32,10,0.8742331288343558,0.8744999584353238
0.025,0.05,32,15,0.8803680981595092,0.8806219116823812
