regularization,stepSize,batchSize,knn_k,accuracy,f1
0.01,0.01,10,5,0.9235618597320725,0.9233531189916029
0.01,0.01,10,10,0.9251379038613081,0.9249334670536319
0.01,0.01,10,15,0.9306540583136328,0.930494249390462
0.01,0.01,10,20,0.9282899921197794,0.9281544367784582
0.01,0.01,32,5,0.9156816390858944,0.9154990807906311
0.01,0.01,32,10,0.9251379038613081,0.9249963900434451
0.01,0.01,32,15,0.9235618597320725,0.9234581423044664
0.01,0.01,32,20,0.9306540583136328,0.9306041178206487
0.01,0.05,10,5,0.9259259259259259,0.9257129141261112
0.01,0.05,10,10,0.9314420803782506,0.9312145889198195
0.01,0.05,10,15,0.9290780141843972,0.9288532373242954
0.01,0.05,10,20,0.9322301024428684,0.9320547556414864
0.01,0.05,32,5,0.9227738376674547,0.922638309377132
0.01,0.05,32,10,0.9306540583136328,0.9305689800309328
0.01,0.05,32,15,0.9330181245074862,0.9329615354829185
0.01,0.05,32,20,0.9282899921197794,0.9282471942278155
0.025,0.01,10,5,0.9227738376674547,0.9224824591312948
0.025,0.01,10,10,0.9227738376674547,0.9226172968204335
0.025,0.01,10,15,0.9267139479905437,0.9266145075702615
0.025,0.01,10,20,0.9275019700551616,0.9273747394152668
0.025,0.01,32,5,0.9125295508274232,0.9123156614408483
0.025,0.01,32,10,0.9125295508274232,0.9122906825574014
0.025,0.01,32,15,0.913317572892041,0.9131418637780377
0.025,0.01,32,20,0.9235618597320725,0.9234779160662232
0.025,0.05,10,5,0.8841607565011821,0.8835182922472005
0.025,0.05,10,10,0.8912529550827423,0.890438787696345
0.025,0.05,10,15,0.8967691095350669,0.8960151738671032
0.025,0.05,10,20,0.8967691095350669,0.8961257391482947
0.025,0.05,32,5,0.9235618597320725,0.923330876803304
0.025,0.05,32,10,0.9211977935382191,0.9210380579800344
0.025,0.05,32,15,0.9290780141843972,0.9288945117178347
0.025,0.05,32,20,0.9282899921197794,0.9281737558010285
