batch_size,learning_rate,reg_lambda,accuracy,f1
16,0.01,0.001,0.8043428571428571,0.8043565414255437
16,0.01,0.01,0.7917714285714286,0.7923970283374113
16,0.01,0.1,0.7453714285714286,0.7472958415637063
16,0.05,0.001,0.7943428571428571,0.7952130321332194
16,0.05,0.01,0.7642285714285715,0.770157414951494
16,0.05,0.1,0.7086285714285714,0.7177671319193708
16,0.1,0.001,0.7871428571428571,0.787789461895679
16,0.1,0.01,0.7602285714285715,0.7609589866833718
16,0.1,0.1,0.6198285714285714,0.6287460906314538
32,0.01,0.001,0.8034857142857142,0.8039259706297214
32,0.01,0.01,0.7928571428571428,0.7929295797290397
32,0.01,0.1,0.7500571428571429,0.7515112165058181
32,0.05,0.001,0.8012571428571429,0.8006105662306032
32,0.05,0.01,0.7897714285714286,0.7906068664353271
32,0.05,0.1,0.7406857142857143,0.7403226159174477
32,0.1,0.001,0.7975428571428571,0.7983900977390131
32,0.1,0.01,0.7852,0.785340085805523
32,0.1,0.1,0.7250857142857143,0.725055828851099
64,0.01,0.001,0.8048,0.8048084832812888
64,0.01,0.01,0.7932571428571429,0.7937281357886397
64,0.01,0.1,0.7526285714285714,0.7530877125700514
64,0.05,0.001,0.8035428571428571,0.8039187356251732
64,0.05,0.01,0.7914285714285715,0.7919676303816008
64,0.05,0.1,0.7456571428571429,0.7451308385454015
64,0.1,0.001,0.7986857142857143,0.7991684766971232
64,0.1,0.01,0.7858857142857143,0.7854172528104513
64,0.1,0.1,0.7352,0.7366455954267858
