batch_size,learning_rate,reg_lambda,accuracy,f1
16,0.01,0.001,0.8780487804878049,0.8734177215189873
16,0.01,0.01,0.8780487804878049,0.8734177215189873
16,0.01,0.1,0.8780487804878049,0.8666666666666667
16,0.05,0.001,0.8719512195121951,0.8695652173913043
16,0.05,0.01,0.8841463414634146,0.8805031446540881
16,0.05,0.1,0.8780487804878049,0.8666666666666667
16,0.1,0.001,0.8719512195121951,0.8695652173913043
16,0.1,0.01,0.8841463414634146,0.8805031446540881
16,0.1,0.1,0.8780487804878049,0.8734177215189873
32,0.01,0.001,0.8841463414634146,0.8789808917197452
32,0.01,0.01,0.8841463414634146,0.8789808917197452
32,0.01,0.1,0.8841463414634146,0.8741721854304636
32,0.05,0.001,0.8719512195121951,0.8695652173913043
32,0.05,0.01,0.8841463414634146,0.8805031446540881
32,0.05,0.1,0.8780487804878049,0.8666666666666667
32,0.1,0.001,0.8719512195121951,0.8695652173913043
32,0.1,0.01,0.8841463414634146,0.8805031446540881
32,0.1,0.1,0.8780487804878049,0.8666666666666667
64,0.01,0.001,0.8841463414634146,0.8774193548387097
64,0.01,0.01,0.8841463414634146,0.8774193548387097
64,0.01,0.1,0.8841463414634146,0.8758169934640523
64,0.05,0.001,0.8841463414634146,0.8805031446540881
64,0.05,0.01,0.8841463414634146,0.8805031446540881
64,0.05,0.1,0.8780487804878049,0.8666666666666667
64,0.1,0.001,0.8719512195121951,0.8695652173913043
64,0.1,0.01,0.8841463414634146,0.8805031446540881
64,0.1,0.1,0.8780487804878049,0.8666666666666667
