batch_size,learning_rate,reg_lambda,accuracy,f1
16,0.01,0.001,0.9577777777777777,0.9575447771722991
16,0.01,0.01,0.9377777777777778,0.9376676205985646
16,0.01,0.1,0.8733333333333333,0.8702056591827143
16,0.05,0.001,0.9711111111111111,0.9710630786413718
16,0.05,0.01,0.9311111111111111,0.9309526568233305
16,0.05,0.1,0.9,0.899865655600609
16,0.1,0.001,0.9666666666666667,0.9665489832144417
16,0.1,0.01,0.9444444444444444,0.9441318651341919
16,0.1,0.1,0.8622222222222222,0.8550112856233216
32,0.01,0.001,0.9466666666666667,0.9465435456775579
32,0.01,0.01,0.9355555555555556,0.9355110196284994
32,0.01,0.1,0.8777777777777778,0.8744660074202848
32,0.05,0.001,0.9644444444444444,0.9642616263469128
32,0.05,0.01,0.9377777777777778,0.9378746476583476
32,0.05,0.1,0.8822222222222222,0.8809846048516963
32,0.1,0.001,0.9733333333333334,0.9733932277950502
32,0.1,0.01,0.9377777777777778,0.9375132417064986
32,0.1,0.1,0.8422222222222222,0.824751202870709
64,0.01,0.001,0.9355555555555556,0.9355110196284994
64,0.01,0.01,0.9355555555555556,0.9355110196284994
64,0.01,0.1,0.8822222222222222,0.8799360166838094
64,0.05,0.001,0.9622222222222222,0.9620144703550163
64,0.05,0.01,0.9355555555555556,0.9355110196284994
64,0.05,0.1,0.8822222222222222,0.8801627991489791
64,0.1,0.001,0.9666666666666667,0.9664597025421839
64,0.1,0.01,0.9288888888888889,0.9282575688587553
64,0.1,0.1,0.7933333333333333,0.7842207868730314
