Regularization,Learning Rate,Batch Size,Accuracy,F1 Score
0.01,0.01,10,0.9460244506344786,0.9457812166233263
0.01,0.01,32,0.9454549675023213,0.9452490970608055
0.01,0.01,20,0.9599365521510368,0.9599294814474921
0.01,0.05,10,0.5443809965954813,0.5098993616887704
0.01,0.05,32,0.9154069947384711,0.9150944073059912
0.01,0.05,20,0.893190962550294,0.8929940265245048
0.025,0.01,10,0.9232250077375426,0.9229101836060328
0.025,0.01,32,0.951590838749613,0.951693364028342
0.025,0.01,20,0.9482513153822346,0.9482407584952492
0.025,0.05,10,0.20072268647477562,0.13405168159969374
0.025,0.05,32,0.9154100897554937,0.9160445988664467
0.025,0.05,20,0.7264608480346643,0.709295591305751
